ISBN_13,titulo,autor
9788551006597.0,A cachorra,Pilar Quintana
9786555601251.0,Vamos Sonhar Juntos,Papa Francisco
9786555600902.0,O Esplêndido e o Vil,Erik Larson
9786555600384.0,Mataram Marielle,Chico Otávio
9786555600926.0,Royal City: Segredos em família,Jeff Lemire
9786555650570.0,O Retorno,Nicholas Sparks
9786555600810.0,Princípios do Estrategista,Felipe Miranda
9786555600469.0,Nada Ortodoxa,Deborah Feldman
9788551006139.0,Alexander Hamilton, Ron Chernow 
9786555601145.0,Laura Dean vive terminando comigo,Mariko Tamaki
9786555600858.0,Box Five Nights at Freddys (Trilogia Completa),Scott Cawthon
9786555600544.0,"BOX NÃO SE APEGA, NÃO",ISABELA FREITAS
9786555601121.0,Não é errado ser feliz,Linda Holmes
9786555601138.0,Não é errado ser feliz,Linda Holmes
9786555600834.0,A Segunda Vida de Missy,Beth Morrey
9786555601329.0,Quarenta e Quatro em Quarentena,Miguel Pinto Guimarães
9788551006344.0,Pachinko,Min Jin Lee
9786555600599.0,Em Águas Profundas,Patricia Highsmith
9786555600070.0,A troca,Beth O'Leary
9786555600889.0,O Enigma do Quarto 622,Joël Dicker
9788551003633.0,O Desaparecimento de Stephanie Mailer,Joël Dicker
9788551004159.0,Misbehaving,Richard H. Thaler
9788551004449.0,O verão que mudou minha vida,Jenny Han
9788551004463.0,Sem você não é verão,Jenny Han
9788551004487.0,Sempre teremos o verão,Jenny Han
9788551004135.0,Misbehaving,Richard H. Thaler 
9788551004111.0,Boy Erased,Garrard Conley
9788551004111.0,Boy Erased: Uma verdade anulada,Garrard Conley
9788551003688.0,Os prós e os contras de nunca esquecer,Val Emmich
9788551004616.0,O Quinto Risco,Michael Lewis
9788551004630.0,Holocausto Brasileiro,Daniela Arbex
9788551004661.0,Você nasceu para isso,Michelle Sacks
9788551003985.0,O construtor de pontes,Markus Zusak
9788551004685.0,Nove Desconhecidos,Liane Moriarty 
9788551004753.0,O Que Aconteceu Com Annie,C.J. Tudor
9788551003350.0,As Crônicas de Âmbar,Roger Zezlany
9788551003695.0,Os prós e os contras de nunca esquecer,Val Emmich
9788551004593.0,Matadouro Cinco,Kurt Vonnegut
9788551004500.0,Mundo em Caos,Patrick Ness
9788551004807.0,Faça Tempo,Jake Knapp
9788551004067.0,O Caso da Mansão Deboën,Edgar Cantero
9788551003718.0,Ainda Sou Eu,Jojo Moyes
9788551004746.0,Areia Movediça,Malin Persson Giolito
9788551004722.0,Box Trilogia Verão: Box com 3 volumes da coleção,Jenny Han
9788551004906.0,F*deu Geral: Um Livro Sobre Esperança?,Mark Manson
9788551004777.0,A vida não é justa,Andréa Pachá
9788551004685.0,Nove Desconhecidos,Liane Moriarty 
9788551004418.0,Tempo de Luz,Whitney Scharer
9788551003237.0,Oblivion Song: Canção do Silêncio,Robert Kirkman
9788551004845.0,"Só Pode Ser Brincadeira, Sr. Feynman!",Richard Feynman
9788551004203.0,Ponti,Sharlene Teo
9788551004920.0,Bird Box: Caixa de Pássaros,Josh Malerman
9788551004579.0,Black Hammer,Jeff Lemire
9788551005156.0,Mister,E.L. James
9788520942864.0,A Pena e a Lei,Ariano Suassuna
9788551004753.0,O que Aconteceu com Annie,C.J. Tudor
9788551004395.0,Why Not,Raquel Landim
9788551004739.0,A Loja de Tudo. Jeff Bezos e a Era da Amazon (edição exclusiva Amazon),Brad Stone
9788551004364.0,Raízes do Mal,Gwenda Bond
9788551004869.0,Um Lugar Bem Longe Daqui,Delia Owens
9788551004074.0,O Caso Da Mansão Deboën,Edgar Cantero
9788551004869.0,Um Lugar Bem Longe Daqui,Delia Owens
9788551004883.0,E se fosse a gente?,Becky Albertalli
9788551004937.0,Bird Box : Caixa De Pássaros - Edição Especial,Josh Malerman
9788551005026.0,Noite em Caracas,Karina Sainz Borgo
9788551005002.0,Este é o mar,Mariana Enriquez
9788551004821.0,Ponti,Sharlene Teo
9788551004968.0,130 anos: Em busca da República,Alexandre de Moraes
9788551004982.0,Daqui Pra Baixo,Jason Reynolds
9788551005170.0,As Férias da Minha Vida,Clara Savelli
9788551004920.0,Bird Box: Caixa de Pássaros,Josh Malerman
9788551005194.0,O Labirinto do Fauno,Cornelia Maria Funke
9788551005224.0,Medicina dos Horrores,Lindsey Fitzharris
9788551004517.0,Mundo Em Caos (Vol. 1),Patrick Ness
9788551004708.0,O desaparecimento de Josef Mengele, Olivier Guez 
9788551004234.0,Pátria,Fernando Aramburu
9788551004944.0,Pátria,Fernando Aramburu
9788551004197.0,O Caso Da Mansão Deboën,Edgar Cantero
9788551005323.0,Contato de Emergência,Mary H.K. Choi
9788551004982.0,Daqui Pra Baixo,Jason Reynolds
9788551005415.0,Teto Para Dois,Beth O'Leary
9788551004890.0,E Se Fosse A Gente?,Becky Albertalli 
9788551003299.0,Caçadores de Nazistas,Andrew Nagorski
9788551005248.0,Pare Com Essa Merda,Gary John Bishop
9788551005262.0,Inspeção,Josh Malerman
9788551005309.0,Serpentário,Felipe Castilho
9788551005286.0,Rede de Sussurros,Chandler Baker
9788551005392.0,Agassi,Andre Agassi
9788551004333.0,A Sutil Arte de Ligar o F*da-se,Manson Mark
9788551003992.0,O Construtor de Pontes,Markus Zusak
9788551005231.0,Medicina Dos Horrores,Lindsey Fitzharris
9788551005453.0,Um Caminho Para a Liberdade,Jojo Moyes
9788551005439.0,Cem,Valerio Vidali 
9788551005569.0,Cova 312,Daniela Arbex
9788551005583.0,Histórias das Histórias que Contei,Vinícius Dônola
9788551005347.0,A Tumba do Tirano,Rick Riordan
9788551005361.0,Recursão,Blake Crouch
9788551004609.0,Matadouro-Cinco,Kurt Vonnegut
9788551005286.0,Rede de Sussurros,Chandler Baker
9788551005538.0,Tim Cook: O Gênio que Mudou o Futuro da Apple,Leander Kahney
9788551005828.0,Me Encontre, André Aciman 
9788551005453.0,Um Caminho Para a Liberdade,Jojo Moyes
9788551005798.0,Descender: Estrelas de Lata,Jeff Lemire
9788551005477.0,"Ada Batista, Cientista",Andrea Beaty
9788551005804.0,Café Da Manhã Dos Campeões,Kurt Vonnegut
9788551005767.0,A Quietude É A Chave,Ryan Holiday
9788551006115.0,Segredo De Justiça,Andréa Pachá
9788551005491.0,"Rita Bandeira, Engenheira",Andrea Beaty
9788551005699.0,"Sofia Pimenta, Futura Presidenta",Andrea Beaty
9788551005514.0,"Paulo Roberto, Arquiteto",Andrea Beaty
9788580576832.0,"Quem é você, Alasca?",John Green
9788551005675.0,Os Segredos que Guardamos,Lara Prescott
9788551006054.0,Na Raça,Maria Luíza Filgueiras
9788551005781.0,Descender: Estrelas De Lata,Jeff Lemire
9788551005293.0,REDE DE SUSSURROS,Chandler Baker
9788551005729.0,A Última Festa,Lucy Foley
9788551005606.0,Colecao Jojo Moyes,Jojo Moyes
9788551004951.0,Pátria,Fernando Aramburu
9788551005255.0,Pare Com Essa Merda: Acabe Com A Autossabotagem E Conquiste Sua Vida De Volta,Gary John Bishop
9788551004401.0,"Why Not: Como os irmãos Joesley e Wesley, da JBS, transformaram um açougue em Goiás na maior empresa de carnes do mundo",Raquel Landim
9788551005200.0,O Labirinto Do Fauno,Guillermo del Toro 
9788551005811.0,Café Da Manhã Dos Campeões,Kurt Vonnegut
9788551005644.0,Coleção Josh Malerman,"
 R$ 
"
9788551005279.0,Inspeção,Josh Malerman
9788551005422.0,Teto Para Dois,Beth O'Leary
9788551005354.0,Coleção R.J. Palácio,R.J. Palacio
,Os Heróis do Olimpo,Rick Riordan
9788551005408.0,F*deu geral,Mark Manson
9788551003312.0,O Labirinto de Fogo,Rick Riordan
8551004867.0,Um Lugar Bem Longe Daqui,Delia Owens
9788551002766.0,Cinquenta tons de liberdade: O capítulo final,E.L. James
9788551002810.0,Ainda Sou Eu,Jojo Moyes
9788551002919.0,O Senhor do Caos,Robert Jordan
9788551002834.0,Mais escuro,E.L. James
9788551002735.0,Me Chame Pelo Seu Nome, André Aciman 
9788551002858.0,Todo dia a mesma noite,Daniela Arbex
9788551002827.0,Ainda Sou Eu,Jojo Moyes
9788551002872.0,O método TB12,Tom Brady
9788551002896.0,A Grande Jogada,Molly Bloom
9788551002933.0,O Homem de Giz,C.J. Tudor
9788551002773.0,A Forma da Água,Guillermo del Toro
9788551002841.0,Mais Escuro (Grey Vol. 2),E L James
9788551002711.0,Um Cavalheiro em Moscou,Amor Towles
9788551002292.0,As Oito Montanhas, Paolo Cognetti 
9788551002964.0,TazerCraft,Gustavo Magnani
9788551002513.0,Ferramentas Dos Titãs,Timothy Ferriss
9788551002902.0,A Grande Jogada,Molly Bloom
9788551002940.0,Aniquilação,Jeff VanderMeer
9788551002742.0,Me Chame Pelo Seu Nome, André Aciman 
9788551002728.0,Um cavalheiro em Moscou,Amor Towles
9788551002797.0,Ikigai,Francesc Miralles
9788551003145.0,Bruce Dickinson: Uma autobiografia,Bruce Dickinson
9788551003022.0,Os distorcidos,Scott Cawthon
9788551002988.0,Segredos do Acampamento Meio-Sangue,Rick Riordan
9788551003084.0,Trilha sonora para o fim dos tempos,Anthony Marra
9788551003053.0,"Com Amor, Simon",Becky Albertalli
9788551003312.0,O Labirinto de Fogo,Rick Riordan
9788551003176.0,"Estúpida, eu?",Camila Coutinho
9788551003060.0,Deuses Americanos,Neil Gaiman
9788551003169.0,"Estúpida, eu?",Camila Coutinho
9788551003008.0,Todas as Coisas Belas,Matthew Quick
9788551003107.0,Nix,Nathan Hill
,Deuses Americanos,Neil Gaiman
9788551003206.0,No Tempo dos Feiticeiros,Cressida Cowell
9788551003190.0,No Tempo dos Feiticeiros,Cressida Cowell
9788551001851.0,Comer Para Não Morrer,Michael Greger
9788580578836.0,Uma Vida No Escuro,
9788551001868.0,Comer Para Não Morrer,Michael Greger
9788551003121.0,Pequenos incêndios por toda parte, Celeste Ng 
9788551003183.0,Tudo o que nunca contei, Celeste Ng 
9788551003374.0,Black Hammer,Jeff Lemire
9788551003442.0,Passageiros do Tempo,Alexandra Bracken
9788551003336.0,"Logo, logo",Kelly Weinersmit
9788551002612.0,A essência do mal,Luca D'Andrea
9788551003275.0,Praia de Manhattan,Jennifer Egan
9788551003466.0,O que Alice esqueceu,Liane Moriarty 
9788551003213.0,A princesa prometida,William Goldman
9788551003855.0,Uma Casa No Fundo de Um Lago,Josh Malerman
9788551003831.0,Mentes sombrias,Alexandra Bracken
9788580572780.0,O lado bom da vida,Matthew Quick
9788551003602.0,Refúgio no Sábado,Miriam Leitão
9788551003527.0,Variações Enigma, André Aciman 
9788551003817.0,Leah Fora de Sintonia,Becky Albertalli
9788551002780.0,A FORMA DA ÁGUA,Del Toro 
9788551003411.0,Princípios,Ray Dalio
9788551003794.0,Uma certa ideia de Brasil,Pedro Malan
9788551002957.0,O Homem de Giz,C.J. Tudor
9788551003664.0,Mitologia Nórdica - Edição de Luxo,Neil Gaiman
9788551003770.0,O novo poder,Henry Timms
9788551003428.0,Princípios,Ray Dalio
9788551003862.0,A Morte da verdade,Michiko Kakutani
9788551003510.0,Esqueceram de Mim,Kim Smith
9788551003497.0,De volta para o futuro,Kim Smith
9788551003398.0,E.T. - O extraterrestre,Kim Smith
9788551003503.0,Esqueceram de mim,Kim Smith
9788551003879.0,Você foi enganado,Chico Otávio
9788551003046.0,Leonardo da Vinci - Edição de Luxo,Walter Isaacson
9788551003657.0,Por que nós dormimos, Matthew Walker 
9788551003640.0,A Morte da Verdade,Michiko Kakutani
,No Último Minuto,Alexandra Bracken
9788551003664.0,Mitologia Nórdica,Neil Gaiman
9788551003480.0,De Volta Para o Futuro,Kim Smith
9788580576597.0,Objetos Cortantes,Gillian Flynn
9788551004036.0,Black Hammer,Jeff Lemire
9788551003930.0,O Primeiro Homem,James R. Hansen
9788551003671.0,Mapa dos Dias,Ransom Riggs
9788551004036.0,Black Hammer,Jeff Lemire
9788551004036.0,Black Hammer 2: O Evento + Pôsters,Jeff Lemire
9788551004296.0,A Catedral do Mar,Ildefonso Falcones
9788551003893.0,O Desaparecimento de Stephanie Mailer,Joël Dicker
9788551003916.0,As Viúvas,Lynda La Plante
9788551004319.0,Breves Respostas Para Grandes Questões,Stephen Hawking
9788551003954.0,Dez argumentos para você deletar agora suas redes sociais,Jaron Lanier
9788551004098.0,Velhos são os outros,Andréa Pachá
9788551003619.0,Os Prós e os Contras de Nunca Esquecer,Val Emmich
,Refúgio no sábado,Míriam Leitão
9788551004166.0,Como mudar sua mente,Michael Pollan
9788551003985.0,O Construtor de Pontes,Markus Zusak
9788551004340.0,No último minuto,Alexandra Bracken
9788551004340.0,No último minuto,Alexandra Bracken
9788551004067.0,O caso da mansão Deboën,Edgar Cantero
9788551004548.0,Kit Livros Isabela Fretas - Não Se Apega não/Não se Iluda não/ Não se Enrola não,Isabela Freitas
9788551003138.0,Pequenos incêndios por toda parte, Celeste Ng 
,SHANTALA,Ludmila Monteiro
9788551001134.0,Tartarugas até lá embaixo,John Green
9788551003961.0,Dez argumentos para você deletar agora suas redes sociais,Jaron Lanier
9780062795250.0,What If It's Us,Becky Albertalli
,DUPLICADO Por que nós dormimos, Matthew Walker 
9788551002520.0,Ferramentas dos Titãs,Tim Ferriss
9788551002285.0,As oito montanhas,Paolo Cognetti
9788580579949.0,Em busca de abrigo,Jojo Moyes
9788551003558.0,MITOLOGIA NÓRDICA,Neil Gaiman
9788551001028.0,A Viúva, Fiona Barton 
9788580579727.0,Paris para um e outros contos,Jojo Moyes
9788580579765.0,O Livro dos Baltimore,Joël Dicker
9788551001158.0,Aconteceu naquele verão,Stephanie Perkins
9788551001172.0,Como combater a fúria de um dragão,Cressida Cowell
9788551000984.0,Buracos negros,Stephen Hawking
9788551000946.0,Meu menino vadio,Luiz Fernando Vianna
9788551001080.0,Cinquenta Tons Mais Escuros,E.L. James
9788551001042.0,Regras simples,Donald Sull e Kathleen M. Eisenhardt
9788551001189.0,A batalha por WondLa,Tony DiTerlizzi
9788551001011.0,Antes que eu vá,Lauren Oliver
9788551001318.0,Cinquenta Tons Mais Escuros,E.L. James
9788551000205.0,A longa caminhada de Billy Lynn,Ben Fountain 
9788551001172.0,Como Combater a Fúria de Um Dragão,Cressida Cowell
9788551001028.0,A Viúva, Fiona Barton 
9788551001264.0,A verdade é teimosa,Miriam Leitão
9788551001226.0,Matéria Escura,Blake Crouch
9788551000144.0,"Às urnas, cidadãos!",Thomas Piketty
9788551001240.0,Eu e você no fim do mundo,Siobhan Vivian
9788551001578.0,Pequenas Grandes Mentiras,Liane Moriarty 
9788551001653.0,Vovô deu no pé,David Walliams
9788551001585.0,Os Irmãos Tapper Detonam Nova York,Geoff Rodkey
9788551001622.0,Somos Todos Extraordinários,R. J. Palacio
9788551001547.0,Eu Sei Onde Você Está,Claire Kendal
9788551001561.0,O Jantar,Herman Koch
9788551001431.0,O Jantar,Herman Koch
9788551001493.0,Somos Guerreiras,Glennon Doyle Melton
9788551001394.0,Quem era ela,JP Delaney
9788551001479.0,Dias Bárbaros,William Finnegan
9788551001370.0,Um Amor Incômodo,Elena Ferrante
9788551001288.0,Mitologia Nórdica,Neil Gaiman
9788580579772.0,A Garota Que Você Deixou Para Trás,Jojo Moyes
9788580579741.0,Tudo o que nunca contei, Celeste Ng 
9788551001462.0,Olhos Prateados,Scott Cawthon
9788551000342.0,Quatro estações em Roma,Anthony Doerr
9788551001325.0,Todo amor tem segredos,Viih Tube
9788551001301.0,Os irmãos Tapper detonam Nova York,Geoff Rodkey
9788580573398.0,Lua Azul - Coleção Os Imortais,Alyson Noël
9788551001912.0,Até Que a Culpa Nos Separe,Liane Moriarty 
9788551001929.0,Até Que a Culpa Nos Separe,Liane Moriarty 
9788551001752.0,Deixei Você Ir,Clare Mackintosh
9788551001769.0,Deixei Você Ir (e-Book),Clare Mackintosh
9788551001615.0,Uma Pergunta Por Dia Para Mães,Potter Style
9788551001691.0,Como Se Tornar Um Campeão,Márcia Vieira
9788551001202.0,Ruby,Cynthia Bond
9788551001219.0,Ruby,Cynthia Bond
9788551001523.0,Sprint,Jake Knapp
9788551001530.0,Sprint - Livro Digital,Jake Knapp
9788551000090.0,O Papa e Mussolini,David I. Kertzer
9788551001646.0,Antes Que Eu Vá,Lauren Oliver
9788551001462.0,Five Nights at Freddy's. Olhos Prateados,Scott Cawthon
9788551001981.0,"Agora e Para Sempre, Lara Jean",Jenny Han
9788580579758.0,Tudo o que nunca contei, Celeste Ng 
9788580576801.0,Pequenas Grandes Mentiras,Liane Moriarty 
9788551001677.0,Bem-vindo à Vida Real,Christian McKay Heidicker
9788551001127.0,Antes da Queda,Noah Hawley
9788551001790.0,Breve história de sete assassinatos,Marlon James
9788551002063.0,Piano Vermelho,Josh Malerman
9788551002018.0,Apenas Uma Garota,Meredith Russo
9788551001066.0,Em Busca de Abrigo,Jojo Moyes
9788580579697.0,A Casa das Marés,Jojo Moyes
9788551001295.0,Mitologia Nórdica,Neil Gaiman
9788551002056.0,Excesso de Luz,Christian McKay Heidicker
9788551001714.0,A Profecia das Sombras,Rick Riordan
9788551001776.0,Razões para continuar vivo,Matt Haig
9788551001592.0,Em Nome dos Pais,Matheus Leitão
9788551001417.0,O Caminho da Porcelana,Edmund de Waal
9788551001899.0,O Projeto Desfazer,Michael Lewis
9788551001356.0,As Garotas,Emma Cline
9788551001448.0,As Coisas que Perdemos no Fogo,Mariana Enriquez
9788551002209.0,Por trás de seus olhos,Sarah Pinborough
9788551001554.0,Eu Sei Onde Você Está,Claire Kendal
9788551001943.0,Robô Selvagem,Peter Brown
9788551001936.0,Robô Selvagem,Peter Brown
9788551002148.0,Geekerela,Ashley Poston
9788551002308.0,Hotel Valhala: Guia dos Mundos Nórdicos,Rick Riordan
9788551002223.0,Hoje Vai Ser Diferente,Maria Semple
9788551002230.0,Hoje Vai Ser Diferente,Maria Semple
9788551001929.0,Até Que a Culpa Nos Separe,Liane Moriarty 
9788551001738.0,Mindhunter,Mark Olshaker
9788551002346.0,Amor & Gelato,Jenna Evans Welch
9788551002339.0,Fantasma,Jason Reynolds
9788551002322.0,Fantasma,Jason Reynolds
9788551002353.0,Amor & Gelato,Jenna Evans Welch
9788580578904.0,Cidade dos Etéreos,Ransom Riggs
9788551001967.0,As Mães,Brit Bennett
9788551001974.0,As Mães,Brit Bennett
9788551002360.0,Os 27 Crushes de Molly,Becky Albertalli
9788551002377.0,Os 27 Crushes de Molly,Becky Albertalli
9788551000250.0,O Navio das Noivas,Jojo Moyes
9788551000953.0,Meu menino vadio: Histórias de um garoto autista e seu pai estranho,Luiz Fernando Vianna
9788551001004.0,Buracos Negros,Stephen Wawking
9788551001837.0,O Árabe do Futuro,Riad Sattouf
9788551002445.0,A Vida Que Enterramos,Allen Eskens
9788551002452.0,A Vida Que Enterramos,Allen Eskens
9788551002117.0,Como as Crianças Aprendem,Paul Tough
9788551002124.0,Como Ajudar as Crianças a Aprenderem,Paul Tough
9788551002087.0,As Upstarts,Brad Stone
9788551002384.0,Meu livro. Eu que escrevi.,Raony Phillips
9788551001813.0,A Grande Saída,Angus Deaton
9788551002162.0,O Curso do Amor,Alain de Botton
9788551002476.0,O Navio dos Mortos,Rick Riordan
9788551002551.0,Mulheres Sem Nome,Martha Hall Kelly
9788551002001.0,Tartarugas Até Lá Embaixo,John Green
9788551000380.0,Cidade dos Etéreos,Ransom Riggs
9788551002049.0,Box Para Todos os Garotos Que Já Amei,Jenny Han
9788580576559.0,Um Mais Um,Jojo Moyes
9788551002261.0,Frantumaglia,Elena Ferrante
9788551001950.0,Os Piores Pirralhos do Mundo,David Walliams
9788551002575.0,Leonardo da Vinci,Walter Isaacson
9788551002421.0,O Ego é Seu Inimigo,Ryan Holiday
9788551002247.0,Por uma Europa democrática,Stéphanie Hennette
9788551002407.0,A Casa das Marés,Jojo Moyes
9788551001097.0,Jogo de Espelhos,Cara Delevingne
9788551002469.0,Destrua Este Diário,Keri Smith
9788551002599.0,A Linha,Keri Smith
9788551001455.0,As coisas que perdemos no fogo,Mariana Enriquez
9788551000397.0,Nada Mais a Perder,Jojo Moyes
9788551002636.0,Endurance,Scott Kelly
9788580576887.0,O Lar da Srta. Peregrine Para Crianças Peculiares,Ransom Riggs
9788551002674.0,Vejo Você No Espaço,Jack Cheng
9788551002537.0,Rejuvelhecer,Sergio Abramoff
9788551002490.0,A Sutil Arte de Ligar o F*da-se,Mark Manson
9788551000823.0,Biblioteca de Almas,Ransom Riggs
9788551002032.0,Tartarugas Até Lá Embaixo,John Green
9788551002100.0,Um Mais Um,Jojo Moyes
9788551002650.0,O Touro Ferdinando,Munro Leaf
9788551002698.0,Ordem Vermelha: Filhos da Degradação,Felipe Castilho
9788551002346.0,Amor & Gelato,Jenna Evans Welch
9788551001349.0,Extraordinário,R. J. Palacio
9788551001363.0,As Garotas,Emma Cline
9788551002766.0,Cinquenta Tons de Liberdade - O Capítulo Final,E.L. James
9788551001233.0,Matéria Escura,Blake Crouch
9788551002506.0,A Sutil Arte de Ligar o F*da-se,Mark Manson
9788551000410.0,"Não Se Enrola, Não",Isabela Freitas
,O livro dos Baltimore,Joël Dicker
9788551001387.0,Um amor incômodo,Elena Ferrante
,A Sutil Arte de Ligar o F*da-se,Mark Manson
9788551000434.0,O som do Amor - Edição Econômica,Jojo Moyes
9788580579680.0,Paris para Um e Outros Contos,Jojo Moyes
9788551001998.0,"Agora e para sempre, Lara Jean",Jenny Han
,Mindhunter,Mark Olshaker
9788551001721.0,A profecia das sombras,Rick Riordan
9788551002483.0,O navio dos mortos,Rick Riordan
9788551002582.0,Leonardo da Vinci,Walter Isaacson
9788551002544.0,Rejuvelhecer,Sergio Abramoff
9788580579734.0,Paris para um e outros contos,Jojo Moyes
9788551002315.0,Hotel Valhala: Guia dos mundos nórdicos,Rick Riordan
9788551002704.0,Ordem Vermelha: Filhos da Degradação (Vol. 1),Felipe Castilho
9788551001745.0,Mindhunter,Mark Olshaker
,O Navio dos Mortos,Rick Riordan
9788580578904.0,Cidade dos Etéreos,Ransom Riggs
9788580578690.0,P.S.: Ainda Amo Você,Jenny Han
9788580578584.0,Sr. Tigre solto na selva ,Peter Brown
9788580578638.0,O nadador,Joakim Zander
9788580578744.0,Vale-tudo da notícia ,Nick Davies
9788580578645.0,Depois de você,Jojo Moyes
9788580578591.0,O Regresso,Michael Punke
9788580578676.0,Trumbo,Bruce Cook
9788580578966.0,A arte do descaso,Cristina Tardáguila
9788580578928.0,Simon vs. a agenda Homo Sapiens ,Becky Albertalli
9788580578829.0,Uma vida no escuro,Anna Lyndsey
9788580578881.0,O universo numa casca de noz,Stephen Hawking
9788580578713.0,Um presente da Tiffany ,Melissa Hill
9788580579130.0,Tudo tem uma primeira vez,Viih Tube
9788580578843.0,Os irmãos Tapper declaram guerra (um contra o outro),Geoff Rodkey
9788580578102.0,Todos Envolvidos ,Ryan Gattis
9788580578867.0,Uma chance de lutar, Elizabeth Warren 
9788580578942.0,Temporada de acidentes ,Moïra Fowley-Doyle
9788580578805.0,O Árabe do Futuro,Riad Sattouf
9788580578768.0,Aceitação,Jeff VanderMeer
9788598078748.0,Orgulho e Preconceito e Zumbis, Seth Grahame-Smith
9788580578782.0,Eu sou o peregrino,Terry Hayes
9788580579178.0,O amor segundo Buenos Aires,Fernando Scheller
9788580579314.0,Alucinadamente feliz,Jenny Lawson 
9788580579017.0,O mistério do mapa,Kory Merritt e Jack Chabert
9788580578126.0,A agenda antiplanos,Keri Smith
